fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220530 044016	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	310	TRUE	999007	0.117345775907447	0.999864022283739	4642	141	0.00833715823922804	12602000	95
20220530 044024	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	17	TRUE	999007	0.248084469011791	0.999714000170784	6690	737	0.0223611400786031	13066000	96
20220530 044031	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	22	TRUE	999007	0.294114822279476	0.963426759102215	1879	16	0.0221852472899439	11652000	97
20220530 044043	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	31	TRUE	999007	0.200086024363857	0.467861508956305	8000	1023	0.0144738791008684	13343000	98
20220530 044054	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	24	TRUE	999007	0.174675123656994	0.508388943515346	5950	1023	0.0160397862572019	13606000	99
20220530 044113	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	91	TRUE	999007	0.042418986711535	0.690184951395751	4907	706	0.015983808849634	13582000	100
20220530 044137	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	88	TRUE	999007	0.0464139428238602	0.43983331988901	4081	65	0.0159935053535769	14040000	101
20220530 044147	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	21	TRUE	999007	0.270065193447408	0.460101548601128	7984	109	0.0157324861079901	13577000	102
20220530 044207	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	131	TRUE	999007	0.0358014125354283	0.997444730922451	7754	986	0.0220498575474788	12059000	103
20220530 044413	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	550	TRUE	999007	0.0101473067458896	0.549671149692548	1475	626	0.0237739995751169	12084000	104
20220530 044422	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	19	TRUE	999007	0.299875972168535	0.368451974486403	6824	1023	0.0213975630036784	13036000	105
20220530 044432	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	22	TRUE	999007	0.299553350252711	0.201744177365132	7042	1024	0.0157874002629608	13213000	106
20220530 044450	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	74	TRUE	999007	0.0828847060836051	0.373207148268668	4946	1023	0.0134315438459468	14403000	107
20220530 044511	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	85	TRUE	999007	0.0693571230021414	0.425074753262341	4893	1024	0.0153373956433769	14105000	108
20220530 044529	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	81	TRUE	999007	0.0818041347555565	0.303634837115315	4857	1024	0.0135994545850595	14371000	109
20220530 044552	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	109	TRUE	999007	0.080746406458123	0.311792571782531	5139	1024	0.0131914397151903	13821000	110
20220530 044606	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	63	TRUE	999007	0.109018698023436	0.601997315928378	4863	1017	0.0136640219789813	13454000	111
20220530 044626	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	66	TRUE	999007	0.0597704152115337	0.381310785204638	4516	101	0.0136074621188954	13771000	112
20220530 044637	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	23	TRUE	999007	0.190885677728304	0.35903617090625	4763	998	0.0136524600742449	13508000	113
20220530 044654	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	60	TRUE	999007	0.0855558815648572	0.387212433001783	4229	1024	0.0137844347695392	14129000	114
20220530 044725	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	178	TRUE	999007	0.035160273966929	0.201054209057705	2871	1024	0.0123835970927121	13843000	115
20220530 044850	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	474	TRUE	999007	0.0131156965056092	0.495733064893053	4649	726	0.012191788025279	13866000	116
20220530 044924	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	262	TRUE	999007	0.0313747530450639	0.206120800134212	1584	16	0.0150758357827864	13747000	117
20220530 045004	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	196	TRUE	999007	0.0279220511995636	0.511995645456629	3547	16	0.014726655377964	14302000	118
20220530 045021	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	45	TRUE	999007	0.0957904692795675	0.999560748844614	3580	46	0.0156795048062635	13951000	119
20220530 045047	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	93	TRUE	999007	0.0416316042792731	0.417465443977821	2557	23	0.014471726537446	14085000	120
