,experimento,fecha,lambda_l1,lambda_l2,min_gain_to_split,bagging_fraction,pos_bagging_fraction,neg_bagging_fraction,max_depth,max_bin,seed,extra_trees,drop_rate,max_drop,skip_drop,metric,first_metric_only,objective,boost_from_average,force_row_wise,feature_pre_filter,boosting,num_threads,verbosity,verbose,learning_rate,feature_fraction,num_leaves,min_data_in_leaf,num_iterations,prob_corte,estimulos,ganancia,iteracion_bayesiana
HT8310_2019_02,20220617,61250,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.143197895826423,0.562467300868337,410,7812,205,0.059859753765804,11184,10536000,91
HT8310_2019_02,20220617,61355,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.194055452555923,0.77025847955551,1314,1283,45,0.062160085733212,10006,10514000,79
HT8310_2019_02,20220617,61457,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.216477587099927,0.202459480938455,861,1838,34,0.049548489328632,11462,10498000,59
HT8310_2019_02,20220617,61601,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.111156619067274,0.876139235755522,1017,7272,237,0.045266304079568,13390,10490000,93
HT8310_2019_02,20220617,61724,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.162528361711156,0.416947578779946,520,4397,47,0.052569898138933,10900,10460000,3
HT8310_2019_02,20220617,61908,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.226625391579771,0.518765215917537,939,5179,41,0.048453117013168,12484,10436000,89
HT8310_2019_02,20220617,62027,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.065177625121586,0.368428744079219,1041,3553,157,0.040904943521928,12800,10360000,113
HT8310_2019_02,20220617,62128,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.147886458912087,0.730735204925574,481,5451,55,0.052596068425242,11296,10304000,78
HT8310_2019_02,20220617,62216,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.197588089538186,0.333622198364511,859,8999,78,0.049462284716526,11786,10294000,88
HT8310_2019_02,20220617,62602,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.268856713841434,0.641604072137037,968,7926,75,0.051158998738873,11434,10286000,111
HT8310_2019_02,20220617,62645,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.298253449872282,0.506514994839381,895,7403,58,0.051606118490807,11208,10272000,7
HT8310_2019_02,20220617,62732,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.077552763670951,0.404612072499818,144,5778,182,0.043192021021253,13272,10248000,29
HT8310_2019_02,20220617,62830,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.106075957822488,0.727070892823022,170,4586,142,0.039738847142758,13754,10246000,35
HT8310_2019_02,20220617,62929,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.267921114996907,0.601309782629204,368,1963,18,0.0395238443735,13906,10214000,109
HT8310_2019_02,20220617,63013,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.163259804510104,0.423446070845309,986,5480,74,0.045956876416111,12484,10196000,21
