fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_depth	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_leaves	prob_corte	nrounds	ganancia	iteracion
20220530 063043	0	0	0	1	hist	lossguide	256	0	1	0.292781240152888	0.999075839933941	8	589	0.0146318104486827	6	11120000	64
20220530 063135	0	0	0	1	hist	lossguide	256	0	1	0.0743931854365332	0.371017946843372	10	548	0.0118820460726189	75	13250000	65
20220530 063538	0	0	0	1	hist	lossguide	256	0	1	0.0101713717205006	0.999939241754594	8	1024	0.0212659050521027	312	12014000	66
20220530 063616	0	0	0	1	hist	lossguide	256	0	1	0.272791260356605	0.586575460373703	10	2	0.0198560830759199	232	13142000	67
20220530 063802	0	0	0	1	hist	lossguide	256	0	1	0.0176686779770152	0.611001912434772	8	19	0.0122693672336886	165	13647000	68
20220530 063823	0	0	0	1	hist	lossguide	256	0	1	0.299882208469062	0.830168755441126	4	2	0.0127868104975072	73	12766000	69
20220530 063912	0	0	0	1	hist	lossguide	256	0	1	0.299587405269425	0.460232736662802	10	2	0.0250659983075021	337	12412000	70
20220530 063939	0	0	0	1	hist	lossguide	256	0	1	0.267538624402379	0.602869497929106	7	2	0.0172347274749965	131	13099000	71
20220530 064004	0	0	0	1	hist	lossguide	256	0	1	0.299956167891543	0.200180192104255	10	592	0.0200127085902464	14	10715000	72
20220530 064031	0	0	0	1	hist	lossguide	256	0	1	0.216808079606131	0.603711381321598	10	2	0.012744846949972	128	13041000	73
20220530 064423	0	0	0	1	hist	lossguide	256	0	1	0.0104773807201109	0.847863361544465	10	563	0.0127458456818169	344	13690000	74
