fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220522 203518	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	428	TRUE	0.0101234146338061	0.749830901999679	1756	788	0.015178834003753	13899000	100
20220522 203530	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	22	TRUE	0.296557340140276	0.780505146135341	6309	1023	0.0170709056009336	12452000	101
20220522 203727	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	764	TRUE	0.0112186175513896	0.339536250465966	3337	16	0.0165795538295427	13453000	102
20220522 203755	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	83	TRUE	0.0875653882809908	0.203967708594352	5755	1024	0.0151667151160865	13464000	103
20220522 204016	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	284	TRUE	0.0100538764925882	0.352055927470221	3942	653	0.00833689106159272	11717000	104
20220522 204037	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	53	TRUE	0.297719569530705	0.402108274946784	8000	495	0.0177342501625228	12761000	105
20220522 204046	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	40	TRUE	0.157897961201189	0.986633923968063	3675	17	0.0182366515993114	12583000	106
20220522 204209	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	400	TRUE	0.0297909378909102	0.200132702324238	7999	151	0.0183566035591529	13151000	107
20220522 204227	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	42	TRUE	0.16852898752292	0.211292228563813	4567	827	0.0167471655094298	12650000	108
20220522 204245	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	8	TRUE	0.29919037997212	0.995409707263314	934	472	0.0131766913618786	10924000	109
20220522 204338	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	112	TRUE	0.0281725895185088	0.615767227075046	5719	1024	0.0177335677749311	13032000	110
20220522 204400	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	72	TRUE	0.102770409963805	0.990672115808775	8000	164	0.0198455699271085	12815000	111
20220522 204432	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	86	TRUE	0.0931843943583876	0.355582002920026	7999	1024	0.0144080811923012	13212000	112
20220522 204458	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	68	TRUE	0.088965501419541	0.200318028967292	3628	141	0.0152104453570719	13675000	113
20220522 204605	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	65	TRUE	0.0270138254846594	0.985351517969952	824	164	0.0140095939215594	13341000	114
20220522 204734	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	177	TRUE	0.0206684874068231	0.41068147757715	2393	823	0.0155414551308242	13533000	115
20220522 204851	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	144	TRUE	0.0346606321505156	0.407649074014634	924	488	0.0136000190093025	13591000	116
20220522 204944	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	429	TRUE	0.0335832212866529	0.278395490580148	607	17	0.0111807422428552	13401000	117
20220522 204957	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	18	TRUE	0.299774830005427	0.999656421604409	5804	486	0.0168574167677664	12810000	118
20220522 205053	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	161	TRUE	0.0449272143869118	0.369376212578209	4282	130	0.0164662236733972	13327000	119
20220522 205109	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	9	TRUE	0.295303309566831	0.388689657169546	1869	1024	0.0142842713851243	11967000	120
20220522 205223	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	205	TRUE	0.034569698795062	0.444398029441258	3522	479	0.0162548413355795	13304000	121
20220522 205324	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	227	TRUE	0.0337952796868654	0.200896752050245	3304	245	0.0148753409142553	13476000	122
20220522 205336	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	72	TRUE	0.295591713562798	0.232498521862973	3686	16	0.016202622465863	13140000	123
20220522 205400	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	53	TRUE	0.0798921274502238	0.74181043648069	6410	787	0.01653562276314	13322000	124
20220522 205412	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	21	TRUE	0.299088769036253	0.998710283524939	6698	676	0.0171306176629238	12582000	125
20220522 205617	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	418	TRUE	0.0100732233715209	0.999671574424714	5501	148	0.0173029905572737	12792000	126
20220522 205641	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	139	TRUE	0.030272632796226	0.97327574682899	2391	19	0.0136148660502544	13457000	127
20220522 205923	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	509	TRUE	0.0103202501163867	0.360341812814784	7642	16	0.0307160074272593	11660000	128
20220522 205934	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	44	TRUE	0.135236828242936	0.200277889354235	3807	16	0.0152957488557639	13251000	129
20220522 205948	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	21	TRUE	0.299881783203564	0.738438383931125	3829	161	0.0152620363393376	12496000	130
