,fecha,objective,metric,first_metric_only,boost_from_average,feature_pre_filter,verbosity,seed,max_depth,min_gain_to_split,lambda_l1,lambda_l2,max_bin,num_iterations,force_row_wise,learning_rate,feature_fraction,min_data_in_leaf,num_leaves,prob_corte,ganancia,iteracion
20220522,200702,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,14,TRUE,"0,21997850134866","0,479099231934032",6075,35,"0,008346139020176",11180000,79
20220522,200734,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,79,TRUE,"0,059922587146791","0,992362755504233",4039,296,"0,016583851732661",12869000,80
20220522,200945,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,528,TRUE,"0,010148830603429","0,708081942597975",6982,94,"0,015711738219451",13075000,81
20220522,200958,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,25,TRUE,"0,299969231013657","0,214918550315646",7221,1024,"0,017029283531547",12709000,82
20220522,201012,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,17,TRUE,"0,299108368554528","0,202404134091084",4825,286,"0,017518908707462",12825000,83
20220522,201129,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,326,TRUE,"0,027729301784613","0,226330515164525",6461,1001,"0,017407413568257",13142000,84
20220522,201200,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,100,TRUE,"0,085625871207591","0,201939079618429",4016,569,"0,015359173513419",13434000,85
20220522,201308,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,233,TRUE,"0,023890814590276","0,203070209757224",5532,504,"0,015373391521836",13000000,86
20220522,201321,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,19,TRUE,"0,205381570584851","0,997161767438898",5764,776,"0,018755038051151",12957000,87
20220522,201629,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,447,TRUE,"0,011985896775864","0,491662023732862",1983,720,"0,016249599652835",13635000,88
20220522,201702,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,52,TRUE,"0,07699914194497","0,460283756450432",2871,581,"0,015798651590498",13279000,89
20220522,201832,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,325,TRUE,"0,019995151604426","0,200237579109062",3456,578,"0,018333144650371",13317000,90
20220522,202052,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,484,TRUE,"0,011279160801734","0,981680629943213",3363,94,"0,015165685327702",13462000,91
20220522,202108,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,25,TRUE,"0,298044429224166","0,592027607358538",7998,16,"0,026068783724391",12462000,92
20220522,202126,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,49,TRUE,"0,282733437804219","0,207161846328187",3618,701,"0,012134011418277",12283000,93
20220522,202503,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,1083,TRUE,"0,011585881252611","0,218656302858763",4650,446,"0,018188659454247",13070000,94
20220522,202658,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,519,TRUE,"0,014424991928036","0,951979819589679",6599,958,"0,015480156136286",13201000,95
20220522,202834,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,396,TRUE,"0,014670210390348","0,993421743134746",7338,555,"0,008512221501689",11486000,96
20220522,203143,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,529,TRUE,"0,010043053286471","0,553603755221741",6684,591,"0,020166543790203",12955000,97
20220522,203211,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,103,TRUE,"0,131360083307853","0,216576711637461",5106,304,"0,026691518798372",11861000,98
20220522,203229,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,22,TRUE,"0,2367905456185","0,555197648678166",7718,1023,"0,01721122667942",12656000,99
20220522,203518,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,428,TRUE,"0,010123414633806","0,749830901999679",1756,788,"0,015178834003753",13899000,100
20220522,203530,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,22,TRUE,"0,296557340140276","0,780505146135341",6309,1023,"0,017070905600934",12452000,101
20220522,203727,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,764,TRUE,"0,01121861755139","0,339536250465966",3337,16,"0,016579553829543",13453000,102
20220522,203755,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,83,TRUE,"0,087565388280991","0,203967708594352",5755,1024,"0,015166715116087",13464000,103
20220522,204016,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,284,TRUE,"0,010053876492588","0,352055927470221",3942,653,"0,008336891061593",11717000,104
20220522,204037,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,53,TRUE,"0,297719569530705","0,402108274946784",8000,495,"0,017734250162523",12761000,105
20220522,204046,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,40,TRUE,"0,157897961201189","0,986633923968063",3675,17,"0,018236651599311",12583000,106
20220522,204209,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,400,TRUE,"0,02979093789091","0,200132702324238",7999,151,"0,018356603559153",13151000,107
20220522,204227,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,42,TRUE,"0,16852898752292","0,211292228563813",4567,827,"0,01674716550943",12650000,108
20220522,204245,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,8,TRUE,"0,29919037997212","0,995409707263314",934,472,"0,013176691361879",10924000,109
